site,reef.id,pres.topa,pres.habili,secchi,flow,logged,coordx,coordy,cb_cover,n_pts,soft_cover,dist_to_logging_km
1,1,5,8,12,Strong,Not logged,436241.2877,9163860.898,23,375,32,3.396808309454544
2,2,1,0,9.5,Strong,Logged,435632.5441,9162877.251,174,375,5,2.440759335417923
3,3,6,3,10.2,Strong,Logged,429647.4697,9164634.427,242,375,5,2.4322577259797677
4,4,0,0,4.7,Mild,Logged,429325.3922,9161596.974,48,375,95,0.19551118975176657
5,5,0,0,5,Mild,Logged,439682.1339,9162095.368,5,375,247,0.35855435693962967
6,6,3,2,10.8,Strong,Logged,437608.4866,9163590.73,207,375,16,2.6890645249107847
7,7,0,0,6.1,Mild,Logged,448857.2191,9154591.741,49,375,94,1.9407191892621245
8,8,0,0,7.2,Mild,Logged,447557.416,9157066.721,3,375,177,1.0346189575809688
9,9,0,0,6,Mild,Logged,446962.154,9152788.743,69,375,54,3.4932910008346334
10,10,0,0,7,Mild,Logged,446047.6594,9151977.35,105,375,31,3.554684704
11,11,0,1,10,Mild,Logged,438825.0934,9155991.661,17,375,24,1.0964376135494256
12,12,0,0,9.5,Mild,Logged,443982.0496,9154677.999,60,375,79,0.5461759022119785
13,13,0,0,7.5,Mild,Logged,454121.6478,9145456.61,42,375,175,0.4279638654165045
14,14,0,0,4,Mild,Logged,450005.9656,9155094.876,1,375,214,0.9497538487433068
15,15,0,1,8.8,Mild,Logged,435560.7537,9158845.207,27,375,0,2.373746763097036
16,16,0,0,14.5,Mild,Logged,434767.8501,9156277.031,11,375,0,0.6364336073208184
17,17,0,0,6.4,Mild,Logged,443074.164,9152044.622,80,375,83,3.299771241462341
18,18,1,0,6.2,Mild,Logged,444209.7283,9158041.319,11,375,105,2.546827909740638
19,19,0,0,10,Mild,Logged,446904.5319,9149101.709,36,375,43,5.424184154372954
20,20,0,0,10.3,Mild,Logged,450993.2346,9149652.267,8,375,4,1.319119373862783
21,21,0,0,8,Mild,Logged,454932.0612,9143259.6,101,375,64,0.5451455041530564
22,22,0,0,9.3,Mild,Logged,453493.3222,9148569.166,36,375,46,1.9703611567302812
23,23,7,26,11,Mild,Not logged,422184.514,9174692.495,141,375,27,11.414245373316415
24,24,1,3,14,Mild,Not logged,425421.4524,9172215.569,72,375,47,8.420917986334667
25,25,15,7,8,Mild,Not logged,428228.8302,9170498.446,63,375,50,7.205222294
26,26,0,2,13,Mild,Not logged,426189.0332,9173920.418,60,375,57,10.14226446
27,27,0,1,13.7,Mild,Not logged,416912.1665,9174677.144,245,375,3,13.913818608251356
28,28,0,0,12,Mild,Not logged,419131.3577,9175940.137,231,375,1,13.75175209
29,29,2,2,8.5,Mild,Not logged,421485.8253,9174814.091,138,375,65,11.755344979685418
30,30,0,0,12.5,Mild,Not logged,414674.1768,9182978.442,29,375,125,22.06764218
31,31,0,0,8.9,Mild,Not logged,417439.2235,9178173.891,1,375,287,16.524346221016557
32,32,2,6,15.2,Mild,Not logged,410979.7152,9180804.924,172,375,47,22.418289810521216
33,33,1,1,9.4,Mild,Not logged,414008.621,9181113.262,47,375,79,20.82950337113118
34,34,0,0,12.5,Mild,Not logged,415304.1934,9181800.979,105,375,17,20.732698203626516
35,35,32,7,10.5,Mild,Not logged,414401.4995,9179856.896,159,375,15,19.570195704161023
36,36,17,5,11.3,Mild,Not logged,413681.1229,9179701.955,166,375,12,19.86629626388578
37,37,25,13,12,Mild,Not logged,412169.3904,9180207.839,79,375,151,21.19650137736741
38,38,8,11,14,Mild,Not logged,417215.1948,9176876.664,148,375,29,15.528493463427818
39,39,5,8,12,Mild,Not logged,419754.1876,9176332.541,165,375,18,13.82553756110496
40,40,3,6,8,Mild,Not logged,424761.6416,9175051.436,235,375,10,11.28521541809564
41,41,0,2,15,Mild,Not logged,426473.5252,9174049.095,101,375,41,10.291394354078628
42,42,0,0,6,Mild,Not logged,433107.2135,9170954.288,36,375,86,7.699517318534567
43,43,1,3,6.7,Mild,Not logged,430914.587,9170359.737,32,375,72,7.028429808383415
44,44,2,1,12,Mild,Not logged,428082.9478,9172146.621,234,375,9,8.716318094277138
45,45,1,7,7,Mild,Not logged,422628.3065,9175260.361,165,375,34,11.839019165931813
46,46,4,8,12,Strong,Not logged,434576.6419,9167057.02,102,372,55,4.650706719755632
47,47,15,6,8.3,Strong,Not logged,435417.7097,9165127.864,134,375,52,3.642792342570188
48,48,12,6,10.4,Strong,Not logged,435885.8874,9164817.831,238,375,8,3.705832406613867
49,49,8,1,12.2,Strong,Not logged,436481.6446,9163965.138,231,375,29,3.657232891654848
